Game,Date,Conference,Venue,Opp,Min,PTS,FG,FGA,FT,FTA,Season
137,3/3/89,East,Home,MIL,41,28,10,18,7,11,N2
138,3/4/89,East,Away,NYK,42,28,10,16,8,8,N2
139,3/7/89,East,Home,PHI,39,34,15,27,4,5,N2
140,3/11/89,West,Home,SEA,40,18,8,13,2,2,N2
141,3/13/89,East,Home,IND,30,21,7,15,4,4,N2
142,3/15/89,East,Away,CLE,38,28,12,22,4,5,N2
143,3/17/89,East,Home,NYK,41,33,9,16,13,14,N2
144,3/18/89,East,Away,IND,44,28,11,24,6,7,N2
145,3/21/89,West,Away,LAL,43,21,7,20,7,8,N2
146,3/22/89,West,Away,PHO,37,32,10,20,12,12,N2
147,3/24/89,West,Away,POR,40,34,10,20,13,16,N2
148,3/25/89,West,Away,SEA,40,21,8,18,5,5,N2
149,3/28/89,West,Home,GSW,40,33,13,24,7,9,N2
150,3/29/89,East,Away,MIL,43,32,9,19,14,16,N2
151,3/31/89,East,Home,CLE,43,37,15,29,6,7,N2
152,4/2/89,East,Home,NJN,39,27,11,23,5,5,N2
153,4/4/89,East,Home,CHH,40,33,10,15,13,15,N2
154,4/6/89,East,Away,DET,43,31,11,23,8,8,N2
155,4/7/89,East,Home,DET,42,40,11,18,18,21,N2
156,4/9/89,East,Away,ATL,43,40,13,29,14,14,N2
157,4/13/89,East,Away,IND,46,47,17,30,13,14,N2
158,4/14/89,East,Away,NJN,38,29,12,27,5,7,N2
159,4/16/89,East,Away,CLE,27,22,8,14,6,6,N2
160,4/17/89,East,Home,NYK,42,34,11,21,11,13,N2
161,4/20/89,East,Away,WSB,39,30,9,20,12,13,N2
162,4/21/89,East,Home,WSB,42,34,13,31,8,11,N2
163,4/23/89,East,Home,CLE,35,25,9,19,7,8,N2
164,11/3/89,East,Home,CLE,47,54,19,31,15,17,N3
165,11/4/89,East,Home,BOS,34,24,10,18,4,6,N3
166,11/7/89,East,Home,DET,44,40,13,24,14,17,N3
167,11/8/89,West,Away,MIN,40,45,15,24,14,14,N3
168,11/10/89,East,Away,NJN,41,26,8,22,10,11,N3
169,11/11/89,West,Home,SEA,34,25,8,15,8,9,N3
170,11/14/89,West,Away,SAC,40,27,11,25,4,8,N3
171,11/15/89,West,Away,UTA,38,40,12,26,16,19,N3
172,11/18/89,West,Away,SEA,39,32,12,26,5,7,N3
173,11/21/89,West,Away,POR,36,16,5,13,5,6,N3
174,11/22/89,West,Away,PHO,44,34,12,30,9,10,N3
175,11/25/89,West,Away,GSW,41,29,12,29,4,5,N3
176,11/26/89,West,Away,LAC,33,26,9,18,7,10,N3
177,11/28/89,East,Home,ATL,39,22,8,15,6,6,N3
178,12/2/89,East,Away,MIA,36,36,11,16,14,15,N3
179,12/5/89,West,Home,DEN,33,35,15,27,5,5,N3
